name,price,description,category,image_url,rating,stock_quantity,discount
Product 51,473.82,High quality and durable,Home & Kitchen,https://picsum.photos/300?random=51,1.1,94,10
Product 52,361.8,Perfect for everyday use,Home & Kitchen,https://picsum.photos/300?random=52,3.8,32,0
Product 53,419.38,Designed for comfort and performance,Electronics,https://picsum.photos/300?random=53,4.4,38,10
Product 54,797.35,A must-have tech gadget,Home & Kitchen,https://picsum.photos/300?random=54,2.0,57,20
Product 55,874.8,Enhances your experience with cutting-edge features,Accessories,https://picsum.photos/300?random=55,2.0,62,0
Product 56,691.39,High quality and durable,Clothing,https://picsum.photos/300?random=56,3.4,48,0
Product 57,301.23,Perfect for everyday use,Electronics,https://picsum.photos/300?random=57,2.8,79,20
Product 58,490.81,Designed for comfort and performance,Accessories,https://picsum.photos/300?random=58,2.1,70,20
Product 59,536.8,A must-have tech gadget,Accessories,https://picsum.photos/300?random=59,2.3,39,5
Product 60,537.61,Enhances your experience with cutting-edge features,Books,https://picsum.photos/300?random=60,2.2,84,5
Product 61,807.17,High quality and durable,Accessories,https://picsum.photos/300?random=61,3.7,32,0
Product 62,655.11,Perfect for everyday use,Home & Kitchen,https://picsum.photos/300?random=62,3.5,49,5
Product 63,385.55,Designed for comfort and performance,Accessories,https://picsum.photos/300?random=63,1.3,57,20
Product 64,689.34,A must-have tech gadget,Electronics,https://picsum.photos/300?random=64,3.2,46,15
Product 65,356.91,Enhances your experience with cutting-edge features,Clothing,https://picsum.photos/300?random=65,3.0,48,15
Product 66,760.71,High quality and durable,Home & Kitchen,https://picsum.photos/300?random=66,1.3,100,10
Product 67,242.47,Perfect for everyday use,Clothing,https://picsum.photos/300?random=67,4.2,73,0
Product 68,445.71,Designed for comfort and performance,Clothing,https://picsum.photos/300?random=68,4.1,76,20
Product 69,213.56,A must-have tech gadget,Accessories,https://picsum.photos/300?random=69,5.0,30,5
Product 70,767.1,Enhances your experience with cutting-edge features,Books,https://picsum.photos/300?random=70,4.8,63,15
Product 71,54.27,High quality and durable,Clothing,https://picsum.photos/300?random=71,1.4,24,0
Product 72,174.73,Perfect for everyday use,Electronics,https://picsum.photos/300?random=72,1.5,86,0
Product 73,770.42,Designed for comfort and performance,Home & Kitchen,https://picsum.photos/300?random=73,3.8,67,15
Product 74,398.98,A must-have tech gadget,Clothing,https://picsum.photos/300?random=74,1.9,82,15
Product 75,331.36,Enhances your experience with cutting-edge features,Clothing,https://picsum.photos/300?random=75,2.6,76,20
Product 76,178.58,High quality and durable,Clothing,https://picsum.photos/300?random=76,4.7,81,5
Product 77,639.02,Perfect for everyday use,Health & Beauty,https://picsum.photos/300?random=77,3.6,97,0
Product 78,366.61,Designed for comfort and performance,Home & Kitchen,https://picsum.photos/300?random=78,3.1,91,5
Product 79,151.66,A must-have tech gadget,Books,https://picsum.photos/300?random=79,3.0,23,20
Product 80,174.16,Enhances your experience with cutting-edge features,Clothing,https://picsum.photos/300?random=80,5.0,35,10
Product 81,543.22,High quality and durable,Clothing,https://picsum.photos/300?random=81,4.9,45,20
Product 82,511.53,Perfect for everyday use,Home & Kitchen,https://picsum.photos/300?random=82,3.6,55,20
Product 83,315.93,Designed for comfort and performance,Electronics,https://picsum.photos/300?random=83,3.6,60,15
Product 84,791.59,A must-have tech gadget,Books,https://picsum.photos/300?random=84,4.4,91,20
Product 85,243.01,Enhances your experience with cutting-edge features,Health & Beauty,https://picsum.photos/300?random=85,2.8,45,15
Product 86,819.45,High quality and durable,Home & Kitchen,https://picsum.photos/300?random=86,2.7,17,0
Product 87,923.53,Perfect for everyday use,Home & Kitchen,https://picsum.photos/300?random=87,2.5,54,5
Product 88,949.48,Designed for comfort and performance,Accessories,https://picsum.photos/300?random=88,3.8,83,0
Product 89,736.81,A must-have tech gadget,Clothing,https://picsum.photos/300?random=89,2.5,97,15
Product 90,14.47,Enhances your experience with cutting-edge features,Electronics,https://picsum.photos/300?random=90,4.6,20,20
Product 91,274.31,High quality and durable,Electronics,https://picsum.photos/300?random=91,1.1,34,15
Product 92,483.87,Perfect for everyday use,Accessories,https://picsum.photos/300?random=92,4.9,51,15
Product 93,111.81,Designed for comfort and performance,Accessories,https://picsum.photos/300?random=93,1.2,48,10
Product 94,416.38,A must-have tech gadget,Home & Kitchen,https://picsum.photos/300?random=94,2.5,98,5
Product 95,641.89,Enhances your experience with cutting-edge features,Health & Beauty,https://picsum.photos/300?random=95,1.8,46,20
Product 96,493.29,High quality and durable,Clothing,https://picsum.photos/300?random=96,1.2,69,10
Product 97,547.43,Perfect for everyday use,Home & Kitchen,https://picsum.photos/300?random=97,4.7,93,0
Product 98,465.88,Designed for comfort and performance,Health & Beauty,https://picsum.photos/300?random=98,1.5,48,0
Product 99,143.21,A must-have tech gadget,Health & Beauty,https://picsum.photos/300?random=99,2.4,89,10
Product 100,542.97,Enhances your experience with cutting-edge features,Accessories,https://picsum.photos/300?random=100,4.6,88,20
